"id"	"trader_id"	"exchange_id"	"exchange_type"	"order_id"	"exchange_order_id"	"exchange_trade_id"	"symbol"	"side"	"price"	"quantity"	"quote_quantity"	"commission"	"commission_asset"	"realized_pnl"	"is_maker"	"created_at"
"48"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"48"	"39397017"	"39397017"	"ESPUSDT"	"SELL"	"0.15912"	"41"	"6.52392"	"0.00326196"	"USDT"	"0.10865"	"0"	"1772063347049"
"49"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"49"	"99226833"	"99226833"	"SIRENUSDT"	"BUY"	"0.3534"	"38"	"13.4292"	"0.0067146"	"USDT"	"0"	"0"	"1772064247069"
"50"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"50"	"99406309"	"99406309"	"SIRENUSDT"	"SELL"	"0.35621"	"38"	"13.53598"	"0.00676799"	"USDT"	"0.10678"	"0"	"1772071036146"
"51"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"51"	"598699386"	"598699386"	"PIPPINUSDT"	"BUY"	"0.7515"	"42"	"31.563"	"0.0157815"	"USDT"	"0"	"0"	"1772072117225"
"52"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"52"	"598759853"	"598759853"	"PIPPINUSDT"	"SELL"	"0.7469"	"42"	"31.3698"	"0.0156849"	"USDT"	"-0.1932"	"0"	"1772073878270"
"53"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"53"	"99491657"	"99491657"	"SIRENUSDT"	"BUY"	"0.36431"	"23"	"8.37913"	"0.00418956"	"USDT"	"0"	"0"	"1772075739099"
"54"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"54"	"99491658"	"99491658"	"SIRENUSDT"	"BUY"	"0.36432"	"28"	"10.20096"	"0.00510048"	"USDT"	"0"	"0"	"1772075739099"
"55"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"55"	"99491659"	"99491659"	"SIRENUSDT"	"BUY"	"0.36433"	"15"	"5.46495"	"0.00273247"	"USDT"	"0"	"0"	"1772075739099"
"56"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"56"	"99491660"	"99491660"	"SIRENUSDT"	"BUY"	"0.36433"	"28"	"10.20124"	"0.00510062"	"USDT"	"0"	"0"	"1772075739099"
"57"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"57"	"99491661"	"99491661"	"SIRENUSDT"	"BUY"	"0.36433"	"90"	"32.7897"	"0.01639485"	"USDT"	"0"	"0"	"1772075739099"
